Date,Time,Temperature,Humidity
2023-01-30,03:42:22,25.3,58.3
2023-01-30,03:42:28,25.3,58.2
2023-01-30,03:42:38,25.3,58.2
2023-01-30,03:42:49,25.3,58.2
2023-01-30,03:42:59,25.3,58.2
2023-01-30,03:43:05,25.3,58.2
2023-01-30,03:43:11,25.4,58.2
2023-01-30,03:43:16,25.3,58.2
2023-01-30,03:43:22,25.4,58.1
2023-01-30,03:43:27,25.4,58.1
2023-01-30,03:43:33,25.4,58.0
2023-01-30,03:43:41,25.4,57.9
2023-01-30,03:43:46,25.4,57.8
2023-01-30,03:43:52,25.4,57.8
2023-01-30,03:43:57,25.4,57.8
2023-01-30,03:44:03,25.5,57.7
2023-01-30,03:44:08,25.5,57.7
2023-01-30,03:44:14,25.5,57.6
2023-01-30,03:44:19,25.5,57.6
2023-01-30,03:44:25,25.5,57.6
2023-01-30,03:44:33,25.5,57.6
2023-01-30,03:44:39,25.5,57.5
2023-01-30,03:44:44,25.5,57.5
2023-01-30,03:44:52,25.5,57.6
2023-01-30,03:44:58,25.5,57.7
2023-01-30,03:45:03,25.5,57.7
2023-01-30,03:45:09,25.5,57.7
2023-01-30,03:45:14,25.6,57.6
2023-01-30,03:45:20,25.6,57.5
2023-01-30,03:45:25,25.6,57.5
2023-01-30,03:45:31,25.6,57.5
2023-01-30,03:45:36,25.6,57.4
2023-01-30,03:45:42,25.6,57.4
2023-01-30,03:45:47,25.6,57.4
2023-01-30,03:45:53,25.6,57.3
2023-01-30,03:46:01,25.6,57.3
2023-01-30,03:46:07,25.6,57.3
2023-01-30,03:46:12,25.6,57.3
2023-01-30,03:46:18,25.7,57.2
2023-01-30,03:46:23,25.7,57.1
2023-01-30,03:46:29,25.7,57.1
2023-01-30,03:46:34,25.7,57.3
2023-01-30,03:46:42,25.7,57.5
2023-01-30,03:46:53,25.7,57.3
2023-01-30,03:46:58,25.7,57.3
2023-01-30,03:47:04,25.7,57.2
2023-01-30,03:47:12,25.7,57.2
2023-01-30,03:47:18,25.7,57.2
2023-01-30,03:47:23,25.7,57.2
2023-01-30,03:47:29,25.7,57.1
2023-01-30,03:47:34,25.8,57.0
2023-01-30,03:47:40,25.7,57.0
2023-01-30,03:47:45,25.8,57.0
2023-01-30,03:47:51,25.8,56.9
2023-01-30,03:47:56,25.8,56.9
2023-01-30,03:48:02,25.8,56.8
2023-01-30,03:48:07,25.8,56.8
2023-01-30,03:48:13,25.8,56.8
2023-01-30,03:48:18,25.8,56.7
2023-01-30,03:48:34,25.8,56.7
2023-01-30,03:48:40,25.8,56.7
2023-01-30,03:48:45,25.8,56.7
2023-01-30,03:48:51,25.8,56.7
2023-01-30,03:48:56,25.8,56.7
2023-01-30,03:49:04,25.8,56.7
2023-01-30,03:49:10,25.8,56.7
2023-01-30,03:49:15,25.8,56.7
2023-01-30,03:49:21,25.8,56.7
2023-01-30,03:49:26,25.8,56.7
2023-01-30,03:49:32,25.8,56.7
2023-01-30,03:49:37,25.8,56.6
2023-01-30,03:49:43,25.8,56.5
2023-01-30,03:49:49,25.8,56.5
2023-01-30,03:49:57,25.8,56.5
2023-01-30,03:50:02,25.8,56.5
2023-01-30,03:50:08,25.8,56.3
2023-01-30,03:50:13,25.8,56.3
2023-01-30,03:50:24,25.8,56.5
2023-01-30,03:50:29,25.9,56.3
2023-01-30,03:50:35,25.9,56.3
2023-01-30,03:50:40,25.9,56.3
2023-01-30,03:50:46,25.9,56.3
2023-01-30,03:50:51,25.9,56.5
2023-01-30,03:50:57,25.9,56.5
2023-01-30,03:51:03,25.9,56.5
2023-01-30,03:51:08,25.9,56.3
2023-01-30,03:51:16,25.9,56.3
2023-01-30,03:51:24,25.9,56.5
2023-01-30,03:51:30,25.9,56.5
2023-01-30,03:51:39,25.9,56.5
2023-01-30,03:51:44,25.9,56.4
2023-01-30,03:51:52,25.9,56.3
2023-01-30,03:52:01,25.9,56.3
2023-01-30,03:52:06,25.9,56.3
2023-01-30,03:52:14,25.9,56.3
2023-01-30,03:52:22,25.9,56.2
2023-01-30,03:52:28,25.9,56.2
2023-01-30,03:52:33,25.9,56.3
2023-01-30,03:52:44,25.9,56.3
2023-01-30,03:52:49,25.9,56.3
2023-01-30,03:52:57,25.9,56.3
2023-01-30,03:53:03,25.9,56.3
2023-01-30,03:53:09,25.9,56.3
2023-01-30,03:53:14,25.9,56.3
2023-01-30,03:53:25,25.9,56.3
2023-01-30,03:53:30,25.9,56.3
2023-01-30,03:53:36,25.9,56.3
2023-01-30,03:53:41,25.9,56.4
2023-01-30,03:53:47,25.9,56.5
2023-01-30,03:53:52,25.9,56.5
2023-01-30,03:53:58,26.0,56.3
2023-01-30,03:54:03,26.0,56.2
2023-01-30,03:54:11,26.0,56.2
2023-01-30,03:54:17,26.0,56.1
2023-01-30,03:54:23,26.0,56.0
2023-01-30,03:54:28,26.0,56.0
2023-01-30,03:54:34,26.0,56.0
2023-01-30,03:54:39,26.0,56.0
2023-01-30,03:54:45,26.0,56.0
2023-01-30,03:54:50,26.0,56.0
2023-01-30,03:54:56,26.0,55.9
2023-01-30,03:55:04,26.0,55.9
2023-01-30,03:55:09,26.0,55.8
2023-01-30,03:55:15,26.0,55.8
2023-01-30,03:55:20,26.1,55.8
2023-01-30,03:55:26,26.0,55.9
2023-01-30,03:55:31,26.1,56.0
2023-01-30,03:55:40,26.1,56.0
2023-01-30,03:55:48,26.0,56.0
2023-01-30,03:55:53,26.0,56.0
2023-01-30,03:55:59,26.0,55.9
2023-01-30,03:56:04,26.1,56.0
2023-01-30,03:56:10,26.1,55.9
2023-01-30,03:56:18,26.1,55.9
